text,label
"Выражение вашей готовности понимается и ценится. Миссия важна, и мы будем целиться в её достижение с максимальной долей эффективности и бдительности. Каждый шаг, каждая мерка будет рассчитана на достижение установленных целей, в полном соответствии с поставленными обязанностями. Работа над проектом несет важное значение и будет поддержана с наивысшим уровнем приоритета. Благодарим за вашу помощь и внимательность.
        I understand and highly appreciate your readiness.",1
"--------------------------------------------------------------------------------
        ""Сожалею, что в этот момент вы не могли присутствовать на нашим заседании. Ваши ценные мнения и опыт являются нашим ценным источником информации и заодно вносят вклад в развитие нашей организации. Впоследствии мы предложим вам полный протокол заседания, и вы сможете ознакомиться с решениями, принятыми нашей командой.
        Гармонизируем усилия и усилим свою деятельность, чтобы достигнуть наших общих целей. Мы надеемся на",1
"1. Salutations, Messieurs et Dames,
        2. Je suis heureux de vous adresser cette lettre concernant notre entreprise.
        3. Nous avons pris note de la hausse récente des coûts et nous sommes en train de procéder à une analyse approfondie pour trouver des solutions efficaces.
        4. Notre équipe a également travaillé à l'optimisation de nos processus et à la réduction des coûts, afin de maintenir une compétitivité élevée.
        5. Vous pouvez rester assuré de mon engagement personnel pour que notre entreprise continue à prospérer.
        6. Merci de votre",1
"--------------------------------------------------------------
        ""Hey there, listen up! I've got news. The new restaurant down the block is serving up some seriously good grub. Tasty tacos, mouthwatering burgers, and a killer drink menu! Don't miss out. I hear it's going to be a hit. So, gather your buddies and head on over, pronto! Remember, good food tastes best when shared with friends!""
        ----------------------------------------------------------",0
"Ça va bien, tu as déjà eu un bon week-end? J'ai passé la mienne à domicile, en train de lire un bon livre. Le dimanche soir, j'ai regardé une bonne série pour me détendre. Ça me fait plaisir d'être en silence et de me détendre un peu. Ton travail aussi est sûrement fatigant? Va prendre un peu de temps pour toi aussi. Voilà pour moi, ça fait des années que je m'occupe du jardinage. T'es aussi passionné par quelque chose? N'hésite pas à m'en raconter, je serais ravi de te l'entendre!",0
"1. Du weißt, dass die Nacht jetzt fällt, also geh nur ruhig ins Bett. Trink noch mal einen Kaffee, oder mach mal eine Musik und schlafe leckere Träume. Es tut dir wohl, du fühlst schon scharf.
        Translation: ""You know that it's getting dark now, so just go quietly to bed. Have one more coffee, or make some music and sleep sweet dreams. It'll do you good, you feel sharp already.""",0
"---------------------------------------------------------------------------------
        In Acht nehmen Sie bitte darauf, dass Ihre Aufmerksamkeit und Ehrlichkeit auf der höchsten Ebene stehen, da die ausübende Autorität mit Verantwortung belastet ist. Das Vertrauen, das in Ihnen gelegt wird, muss durch eine tadellose Leistungsbereitschaft und völligem Respekt für die Rechte der anderen demonstriert werden. Zusammenarbeit ist die Voraussetzung für das Erreichen gemeinsamer Ziele.
        Wir bitten Sie deshalb, ihre Arbeit von allen Seiten aus zu betrachten und möglichst effiziente Methoden anzuwenden, um das Max",1
"""Nous avons l'honneur de vous informer que votre demande de financement pour le projet XYZ a été soumise à notre comité de décision. Nous vous remercions pour votre engagement et votre soutien à notre organisation. Nous vous garantissons une évaluation objective de votre demande et une réponse dans les délais de cinq jours ouvrés. Merci de votre patience et de votre compréhension.""
        ""We have the honor to inform you that your Request for Funding for the Project XYZ has been submitted to our Decision Committee. We thank you for your commitment and your support of our organization. We will guarantee an objective evaluation of your Request and a response within five working days. Thank you for",1
"¡No espere más! Hoy nos reúnemos en el parque para jugar fútbol americano y luego disfrutar de una cerveza fría. Asegúrate de llevar zapatillas de fútbol y prendas adecuadas para el clima. ¡No olvides traer tus guantes! Si es el primero que llega, piensa en poner la grilla y empezar a preparar la carne para la barbecue. ¡Vamos a tener una gran tarde!
        Translation: Hurry up! Today we meet at the park to play American football and later enjoy a cold beer. Make sure to bring football shoes and appropriate clothes for the weather. Don't forget your gloves! If you're",0
"""Salut, tu as envie de manger chez moi ce soir? On peut cuisiner quelque chose bien délicieux ensemble, en fin de semaine on mérite un repas spécial, non? Et pourquoi pas aller chercher une bonne bouteille de vin, pour aller avec notre repas? Ça serait trop cool!""
        ""Hey, do you want to eat at my place tonight? We can cook something delicious together, since it's the end of the week we deserve a special meal, right? And why not go and find a good bottle of wine, to accompany our meal? That would be too cool!""",0
